gene_id	gene_name	SS01	SS03
ENSG00000186092	OR4F5	0	0
ENSG00000279928	FO538757.2	0	0
ENSG00000279457	FO538757.1	398	391
ENSG00000278566	OR4F29	0	0
ENSG00000273547	OR4F16	0	0
ENSG00000187634	SAMD11	336	341
ENSG00000188976	NOC2L	2966	2639
ENSG00000187961	KLHL17	1115	910
ENSG00000187583	PLEKHN1	2	1
ENSG00000187642	PERM1	5	0
ENSG00000188290	HES4	1304	727
ENSG00000187608	ISG15	892	820
ENSG00000188157	AGRN	14527	10467
ENSG00000237330	RNF223	6	4
ENSG00000131591	C1orf159	529	421
ENSG00000162571	TTLL10	0	0
ENSG00000186891	TNFRSF18	2	3
ENSG00000186827	TNFRSF4	5	0
ENSG00000078808	SDF4	7854	6576
ENSG00000176022	B3GALT6	1217	1086
ENSG00000184163	FAM132A	11	4
ENSG00000160087	UBE2J2	2044	2083
ENSG00000162572	SCNN1D	783	520
ENSG00000131584	ACAP3	20530	11275
ENSG00000169972	PUSL1	665	581
ENSG00000127054	CPSF3L	2920	2194
ENSG00000224051	CPTP	986	937
ENSG00000169962	TAS1R3	48	43
ENSG00000107404	DVL1	2188	2017
ENSG00000162576	MXRA8	396	549
ENSG00000175756	AURKAIP1	2116	2034
ENSG00000221978	CCNL2	9823	6012
ENSG00000242485	MRPL20	1367	1670
ENSG00000235098	ANKRD65	47	34
ENSG00000205116	TMEM88B	0	1
ENSG00000179403	VWA1	3725	3240
ENSG00000215915	ATAD3C	21	8
ENSG00000160072	ATAD3B	1133	753
ENSG00000197785	ATAD3A	1022	905
ENSG00000205090	TMEM240	224	212
ENSG00000160075	SSU72	3503	3209
ENSG00000279244	AL645728.1	0	0
ENSG00000228594	FNDC10	1	0
ENSG00000197530	MIB2	2776	1705
ENSG00000189409	MMP23B	5	1
ENSG00000248333	CDK11B	736	599
ENSG00000189339	SLC35E2B	1705	1655
ENSG00000008128	CDK11A	59	36
ENSG00000215790	SLC35E2	24	34
ENSG00000008130	NADK	1709	1492
ENSG00000078369	GNB1	15113	16384
ENSG00000169885	CALML6	8	10
ENSG00000178821	TMEM52	15	8
ENSG00000142609	CFAP74	2	2
ENSG00000187730	GABRD	20	18
ENSG00000067606	PRKCZ	1187	1433
ENSG00000162585	FAAP20	1784	1537
ENSG00000157933	SKI	5295	3946
ENSG00000116151	MORN1	104	70
ENSG00000157916	RER1	3310	3466
ENSG00000157911	PEX10	1174	889
ENSG00000149527	PLCH2	198	173
ENSG00000157881	PANK4	1604	1571
ENSG00000197921	HES5	887	818
ENSG00000157873	TNFRSF14	320	334
ENSG00000157870	FAM213B	1505	1219
ENSG00000142606	MMEL1	59	50
ENSG00000215912	TTC34	18	10
ENSG00000169717	ACTRT2	0	0
ENSG00000142611	PRDM16	23	5
ENSG00000130762	ARHGEF16	24	30
ENSG00000162591	MEGF6	12	2
ENSG00000158109	TPRG1L	799	759
ENSG00000116213	WRAP73	1116	959
ENSG00000078900	TP73	669	536
ENSG00000162592	CCDC27	1	2
ENSG00000235169	SMIM1	3	4
ENSG00000130764	LRRC47	1979	1766
ENSG00000116198	CEP104	1001	907
ENSG00000169598	DFFB	271	246
ENSG00000198912	C1orf174	650	610
ENSG00000196581	AJAP1	1	1
ENSG00000131697	NPHP4	1135	897
ENSG00000069424	KCNAB2	682	598
ENSG00000116254	CHD5	52	32
ENSG00000116251	RPL22	1734	1916
ENSG00000158286	RNF207	25	26
ENSG00000116237	ICMT	1887	1586
ENSG00000173673	HES3	0	0
ENSG00000158292	GPR153	2284	2215
ENSG00000097021	ACOT7	3589	3634
ENSG00000069812	HES2	48	38
ENSG00000187017	ESPN	25	22
ENSG00000215788	TNFRSF25	608	389
ENSG00000171680	PLEKHG5	1144	724
ENSG00000162408	NOL9	769	548
ENSG00000173662	TAS1R1	23	28
ENSG00000204859	ZBTB48	824	770
ENSG00000162413	KLHL21	1973	980
ENSG00000116273	PHF13	1515	1317
ENSG00000041988	THAP3	1048	1017
ENSG00000007923	DNAJC11	2068	1611
ENSG00000171735	CAMTA1	1592	1572
ENSG00000049245	VAMP3	2093	1735
ENSG00000049246	PER3	1688	1418
ENSG00000049247	UTS2	1	10
ENSG00000049249	TNFRSF9	34	36
ENSG00000116288	PARK7	6129	6900
ENSG00000116285	ERRFI1	3198	2925
ENSG00000162426	SLC45A1	278	250
ENSG00000142599	RERE	5265	4000
ENSG00000074800	ENO1	36320	50183
ENSG00000131686	CA6	0	0
ENSG00000197241	SLC2A7	0	0
ENSG00000142583	SLC2A5	38	24
ENSG00000180758	GPR157	160	194
ENSG00000049239	H6PD	877	642
ENSG00000171621	SPSB1	823	692
ENSG00000171612	SLC25A33	565	495
ENSG00000188807	TMEM201	1551	1581
ENSG00000171608	PIK3CD	169	82
ENSG00000171603	CLSTN1	12790	12452
ENSG00000280113	AL357140.1	0	0
ENSG00000178585	CTNNBIP1	1294	1254
ENSG00000162441	LZIC	589	713
ENSG00000173614	NMNAT1	223	268
ENSG00000162444	RBP7	2	6
ENSG00000130939	UBE4B	1532	1209
ENSG00000054523	KIF1B	6551	6310
ENSG00000142657	PGD	6482	5673
ENSG00000251503	APITD1-CORT	0	0
ENSG00000175279	APITD1	42	43
ENSG00000241563	CORT	8	4
ENSG00000160049	DFFA	1350	1224
ENSG00000142655	PEX14	777	690
ENSG00000130940	CASZ1	38	20
ENSG00000175262	C1orf127	1	3
ENSG00000120948	TARDBP	3717	3394
ENSG00000277726	RP4-635E18.9	0	0
ENSG00000009724	MASP2	9	2
ENSG00000116649	SRM	2854	2639
ENSG00000171824	EXOSC10	3009	2383
ENSG00000198793	MTOR	2053	1938
ENSG00000171819	ANGPTL7	1	2
ENSG00000120942	UBIAD1	615	545
ENSG00000204624	DISP3	1199	1241
ENSG00000116661	FBXO2	103	66
ENSG00000132879	FBXO44	1595	1688
ENSG00000116663	FBXO6	166	201
ENSG00000116670	MAD2L2	2816	2742
ENSG00000162490	DRAXIN	4232	4722
ENSG00000177674	AGTRAP	295	326
ENSG00000215910	C1orf167	8	2
ENSG00000177000	MTHFR	1146	653
ENSG00000011021	CLCN6	2416	1279
ENSG00000175206	NPPA	2498	3510
ENSG00000120937	NPPB	23	12
ENSG00000116685	KIAA2013	1319	1176
ENSG00000083444	PLOD1	8188	7177
ENSG00000116688	MFN2	3628	3100
ENSG00000116691	MIIP	929	1045
ENSG00000120949	TNFRSF8	0	0
ENSG00000028137	TNFRSF1B	95	59
ENSG00000048707	VPS13D	1507	1066
ENSG00000162496	DHRS3	656	623
ENSG00000204518	AADACL4	0	0
ENSG00000188984	AADACL3	0	0
ENSG00000157330	C1orf158	1	2
ENSG00000116726	PRAMEF12	0	0
ENSG00000116721	PRAMEF1	0	0
ENSG00000239810	PRAMEF11	0	0
ENSG00000179172	HNRNPCL1	0	2
ENSG00000120952	PRAMEF2	0	0
ENSG00000243073	PRAMEF4	0	0
ENSG00000187545	PRAMEF10	0	0
ENSG00000204510	PRAMEF7	0	0
ENSG00000232423	PRAMEF6	0	0
ENSG00000274764	PRAMEF27	0	0
ENSG00000229571	PRAMEF25	0	0
ENSG00000277058	HNRNPCL3	0	0
ENSG00000275774	HNRNPCL2	1	0
ENSG00000280267	PRAMEF26	0	0
ENSG00000179412	HNRNPCL4	0	0
ENSG00000204505	PRAMEF9	0	0
ENSG00000279804	PRAMEF18	0	0
ENSG00000270601	PRAMEF5	0	0
ENSG00000182330	PRAMEF8	0	0
ENSG00000204501	PRAMEF15	0	0
ENSG00000204481	PRAMEF14	0	0
ENSG00000204480	PRAMEF19	0	0
ENSG00000204479	PRAMEF17	0	0
ENSG00000204478	PRAMEF20	0	0
ENSG00000162494	LRRC38	1	1
ENSG00000162493	PDPN	9389	8402
ENSG00000116731	PRDM2	1461	1150
ENSG00000189337	KAZN	1324	1482
ENSG00000171729	TMEM51	1718	1664
ENSG00000142621	FHAD1	114	100
ENSG00000142634	EFHD2	3712	3032
ENSG00000162438	CTRC	91	43
ENSG00000142615	CELA2A	0	0
ENSG00000215704	CELA2B	0	0
ENSG00000132906	CASP9	709	733
ENSG00000116138	DNAJC16	1253	1019
ENSG00000116771	AGMAT	12	13
ENSG00000197312	DDI2	891	950
ENSG00000215695	RSC1A1	0	0
ENSG00000116786	PLEKHM2	8968	7147
ENSG00000162461	SLC25A34	208	127
ENSG00000162460	TMEM82	0	0
ENSG00000162458	FBLIM1	5059	3218
ENSG00000233954	UQCRHL	81	73
ENSG00000065526	SPEN	7667	5950
ENSG00000116809	ZBTB17	3083	2610
ENSG00000183888	C1orf64	0	0
ENSG00000173641	HSPB7	67	56
ENSG00000186510	CLCNKA	3	15
ENSG00000184908	CLCNKB	5	6
ENSG00000185519	FAM131C	31	15
ENSG00000142627	EPHA2	2528	3064
ENSG00000142632	ARHGEF19	69	35
ENSG00000132881	RSG1	69	71
ENSG00000037637	FBXO42	2692	2982
ENSG00000055070	SZRD1	10648	6269
ENSG00000187144	SPATA21	39	31
ENSG00000157191	NECAP2	2459	2377
ENSG00000268991	FAM231B	0	0
ENSG00000219481	NBPF1	563	613
ENSG00000237847	FAM231A	0	0
ENSG00000279132	FAM231C	0	0
ENSG00000058453	CROCC	2315	1427
ENSG00000117122	MFAP2	435	512
ENSG00000159363	ATP13A2	4737	5300
ENSG00000117118	SDHB	3856	4413
ENSG00000117115	PADI2	1192	1769
ENSG00000142623	PADI1	27	41
ENSG00000142619	PADI3	1	5
ENSG00000159339	PADI4	0	2
ENSG00000280226	AC004824.1	0	0
ENSG00000276747	PADI6	0	0
ENSG00000179051	RCC2	8819	7477
ENSG00000074964	ARHGEF10L	3729	2624
ENSG00000117148	ACTL8	3	0
ENSG00000117154	IGSF21	1317	1508
ENSG00000179023	KLHDC7A	36	27
ENSG00000009709	PAX7	36	17
ENSG00000179002	TAS1R2	0	2
ENSG00000255275	RP13-279N23.2	0	0
ENSG00000159423	ALDH4A1	772	650
ENSG00000169991	IFFO2	3063	2647
ENSG00000127481	UBR4	11639	6046
ENSG00000127463	EMC1	6945	6573
ENSG00000053372	MRTO4	2359	2452
ENSG00000162482	AKR7A3	39	35
ENSG00000053371	AKR7A2	1695	1615
ENSG00000040487	PQLC2	1790	1418
ENSG00000077549	CAPZB	12816	11719
ENSG00000173436	MINOS1	1211	1391
ENSG00000270136	MINOS1-NBL1	0	0
ENSG00000158747	NBL1	870	845
ENSG00000158748	HTR6	17	11
ENSG00000162542	TMCO4	199	150
ENSG00000178828	RNF186	0	0
ENSG00000169914	OTUD3	3955	2231
ENSG00000188784	PLA2G2E	0	0
ENSG00000188257	PLA2G2A	122	136
ENSG00000127472	PLA2G5	426	385
ENSG00000117215	PLA2G2D	1	6
ENSG00000158786	PLA2G2F	0	4
ENSG00000187980	PLA2G2C	0	0
ENSG00000162543	UBXN10	6	4
ENSG00000158816	VWA5B1	5	7
ENSG00000162545	CAMK2N1	8904	7305
ENSG00000090432	MUL1	3190	3275
ENSG00000183114	FAM43B	742	998
ENSG00000158825	CDA	0	0
ENSG00000158828	PINK1	4756	4547
ENSG00000244038	DDOST	17550	10615
ENSG00000117245	KIF17	191	91
ENSG00000189410	SH2D5	611	296
ENSG00000127483	HP1BP3	16055	12019
ENSG00000075151	EIF4G3	9048	8845
ENSG00000117298	ECE1	9701	6018
ENSG00000142794	NBPF3	159	213
ENSG00000162551	ALPL	562	426
ENSG00000076864	RAP1GAP	2906	2226
ENSG00000090686	USP48	4275	4572
ENSG00000187942	LDLRAD2	29	31
ENSG00000142798	HSPG2	1572	1244
ENSG00000219073	CELA3B	0	0
ENSG00000142789	CELA3A	0	2
ENSG00000070831	CDC42	8663	8767
ENSG00000162552	WNT4	50	83
ENSG00000184677	ZBTB40	2939	1941
ENSG00000070886	EPHA8	6	6
ENSG00000173372	C1QA	0	0
ENSG00000159189	C1QC	0	0
ENSG00000173369	C1QB	0	0
ENSG00000133216	EPHB2	12635	11671
ENSG00000215906	LACTBL1	0	0
ENSG00000227868	C1orf234	3	2
ENSG00000004487	KDM1A	7414	8294
ENSG00000169641	LUZP1	2594	1878
ENSG00000179546	HTR1D	14	20
ENSG00000125944	HNRNPR	9743	10444
ENSG00000125945	ZNF436	4952	5066
ENSG00000204219	TCEA3	145	127
ENSG00000088280	ASAP3	2990	2568
ENSG00000007968	E2F2	755	952
ENSG00000117318	ID3	7751	5898
ENSG00000197880	MDS2	1	1
ENSG00000142676	RPL11	21447	22039
ENSG00000011007	TCEB3	6490	6581
ENSG00000057757	PITHD1	4454	3656
ENSG00000011009	LYPLA2	2336	1899
ENSG00000117308	GALE	1284	1223
ENSG00000117305	HMGCL	1425	1601
ENSG00000179163	FUCA1	825	762
ENSG00000188822	CNR2	5	4
ENSG00000189266	PNRC2	2176	2251
ENSG00000188529	SRSF10	8455	7209
ENSG00000142661	MYOM3	14	3
ENSG00000142677	IL22RA1	10	5
ENSG00000185436	IFNLR1	88	37
ENSG00000158055	GRHL3	53	31
ENSG00000001460	STPG1	90	71
ENSG00000001461	NIPAL3	648	500
ENSG00000117602	RCAN3	183	120
ENSG00000184454	NCMAP	3	9
ENSG00000133226	SRRM1	4142	4340
ENSG00000169504	CLIC4	6214	6047
ENSG00000020633	RUNX3	2	5
ENSG00000117614	SYF2	3425	3230
ENSG00000117616	RSRP1	5944	6011
