"gene_id"	"length"
"ENSG00000000003"	12883
"ENSG00000000005"	14949
"ENSG00000000419"	23688
"ENSG00000000457"	44636
"ENSG00000000460"	192073
"ENSG00000000971"	95461
"ENSG00000001036"	16908
"ENSG00000001084"	119629
"ENSG00000001167"	27031
"ENSG00000001460"	59935
"ENSG00000001461"	57174
"ENSG00000001497"	22193
"ENSG00000001617"	34030
"ENSG00000001626"	428851
"ENSG00000001629"	155409
"ENSG00000001630"	22650
"ENSG00000001631"	47197
"ENSG00000002016"	78317
"ENSG00000002330"	14874
"ENSG00000002549"	30780
"ENSG00000002586"	50122
"ENSG00000002587"	36414
"ENSG00000002746"	453372
"ENSG00000002822"	417450
"ENSG00000002834"	51911
"ENSG00000002919"	19717
"ENSG00000002933"	4715
"ENSG00000003056"	9400
"ENSG00000003096"	219527
"ENSG00000003137"	18800
"ENSG00000003147"	149503
"ENSG00000003249"	15257
"ENSG00000003393"	80689
"ENSG00000003400"	46508
"ENSG00000003402"	60533
"ENSG00000003436"	101530
"ENSG00000003509"	21772
"ENSG00000003756"	30102
"ENSG00000003989"	73485
"ENSG00000004059"	3314
"ENSG00000004139"	39693
"ENSG00000004142"	10894
"ENSG00000004399"	51643
"ENSG00000004455"	73056
"ENSG00000004468"	74957
"ENSG00000004478"	10453
"ENSG00000004487"	64246
"ENSG00000004534"	160038
"ENSG00000004660"	34576
"ENSG00000004700"	32759
"ENSG00000004766"	128783
"ENSG00000004776"	3513
"ENSG00000004777"	14290
"ENSG00000004779"	15302
"ENSG00000004799"	13017
"ENSG00000004838"	4622
"ENSG00000004848"	12726
"ENSG00000004864"	201927
"ENSG00000004866"	276865
"ENSG00000004897"	71719
"ENSG00000004961"	11785
"ENSG00000004975"	9175
"ENSG00000005007"	36271
"ENSG00000005020"	328171
"ENSG00000005022"	2974
"ENSG00000005059"	128510
"ENSG00000005073"	4075
"ENSG00000005075"	5789
"ENSG00000005100"	28065
"ENSG00000005108"	461833
"ENSG00000005156"	29231
"ENSG00000005175"	44781
"ENSG00000005189"	43239
"ENSG00000005194"	19233
"ENSG00000005206"	26480
"ENSG00000005238"	12229
"ENSG00000005243"	11863
"ENSG00000005249"	117106
"ENSG00000005302"	17613
"ENSG00000005339"	155659
"ENSG00000005379"	27567
"ENSG00000005436"	58985
"ENSG00000005448"	4077
"ENSG00000005469"	54130
"ENSG00000005471"	78739
"ENSG00000005483"	100829
"ENSG00000005486"	46324
"ENSG00000005513"	5209
"ENSG00000005700"	77768
"ENSG00000005801"	39961
"ENSG00000005810"	282437
"ENSG00000005812"	34597
"ENSG00000005844"	50466
"ENSG00000005882"	17415
"ENSG00000005884"	34513
"ENSG00000005889"	67082
"ENSG00000005893"	43217
"ENSG00000005961"	17469
"ENSG00000005981"	61789
"ENSG00000006007"	20430
"ENSG00000006015"	3651
"ENSG00000006016"	35521
"ENSG00000006025"	14462
"ENSG00000006042"	17196
"ENSG00000006047"	6376
"ENSG00000006062"	53910
"ENSG00000006071"	84381
"ENSG00000006118"	12696
"ENSG00000006125"	148367
"ENSG00000006194"	37601
"ENSG00000006210"	12567
"ENSG00000006282"	12794
"ENSG00000006283"	66759
"ENSG00000006327"	3938
"ENSG00000006377"	5487
"ENSG00000006432"	87008
"ENSG00000006451"	84555
"ENSG00000006453"	109440
"ENSG00000006459"	92237
"ENSG00000006468"	100196
"ENSG00000006530"	103966
"ENSG00000006534"	20704
"ENSG00000006576"	158711
"ENSG00000006606"	20363
"ENSG00000006607"	138556
"ENSG00000006625"	8220
"ENSG00000006634"	33337
"ENSG00000006638"	12368
"ENSG00000006652"	58049
"ENSG00000006695"	162246
"ENSG00000006704"	148814
"ENSG00000006712"	5525
"ENSG00000006715"	209420
"ENSG00000006744"	26453
"ENSG00000006756"	25377
"ENSG00000006757"	29492
"ENSG00000006831"	100100
"ENSG00000006837"	84697
"ENSG00000007001"	259452
"ENSG00000007047"	225996
"ENSG00000007062"	121302
"ENSG00000007080"	10976
"ENSG00000007168"	92405
"ENSG00000007171"	43763
"ENSG00000007174"	371278
"ENSG00000007202"	31008
"ENSG00000007237"	287942
"ENSG00000007255"	15309
"ENSG00000007341"	97311
"ENSG00000007372"	33182
"ENSG00000007376"	3423
"ENSG00000007384"	18296
"ENSG00000007392"	40494
"ENSG00000007402"	141445
"ENSG00000007516"	15803
"ENSG00000007520"	2638
"ENSG00000007541"	17114
"ENSG00000007545"	65571
"ENSG00000007866"	23482
"ENSG00000007908"	42065
"ENSG00000007923"	67756
"ENSG00000007944"	19162
"ENSG00000007968"	24795
"ENSG00000008018"	18187
"ENSG00000008056"	47956
"ENSG00000008083"	275973
"ENSG00000008086"	228046
"ENSG00000008118"	30225
"ENSG00000008128"	21978
"ENSG00000008130"	29225
"ENSG00000008196"	28896
"ENSG00000008226"	84820
"ENSG00000008256"	110868
"ENSG00000008277"	268746
"ENSG00000008282"	22073
"ENSG00000008283"	14050
"ENSG00000008294"	158694
"ENSG00000008300"	26423
"ENSG00000008311"	70706
"ENSG00000008324"	13274
"ENSG00000008382"	16559
